Wavelength,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5
690.08,134.64157,23.50077,23.61543,31.41064,29.75619
691.267,162.28668,30.83349,29.81404,31.4508,34.39659
692.453,186.91407,33.92967,35.0095,37.07353,38.57521
693.64,211.41354,43.09562,48.23702,39.46163,40.73008
694.826,225.64784,47.1846,41.79673,49.9128,47.28003
696.013,219.24925,49.35935,46.90451,49.30189,49.60868
697.2,233.25576,52.75798,50.55189,55.79347,53.40181
698.387,210.91333,45.79138,49.1329,44.77251,52.46363
699.574,181.86383,35.81857,40.50357,42.71866,43.01892
700.761,165.51802,36.00985,40.93085,33.01689,38.52609
701.948,134.76347,34.20119,33.60999,29.59741,32.62246
703.135,109.47804,25.14874,24.42905,30.49328,24.525
704.323,82.77049,18.28951,20.03016,13.03753,22.34194
705.51,62.85922,13.08012,18.39045,15.59987,14.86346
706.698,36.08254,9.53671,12.67395,12.63762,4.55519
707.885,27.23385,7.67784,3.24266,2.28923,4.83881
709.073,3.10984,3.64332,3.91016,10.99072,2.30324
710.261,3.54111,3.22986,-0.87302,-2.05443,-0.25712
711.449,0,-0.8636,0.87536,6.17977,2.5781
712.637,2.5098,-4.97264,-0.65744,-3.09421,2.06536
713.825,1.8855,-0.21656,-2.85366,-1.29141,5.94786
715.013,-1.26353,-3.04765,2.8685,2.85588,-4.41911
716.201,-2.33744,5.05217,3.56241,3.14369,-4.45909
717.389,1.69938,-0.87834,-1.55802,0,0
718.578,1.49094,1.54121,2.23171,-4.46397,1.05165
719.766,2.99193,2.43006,4.25453,-4.74249,-3.69318
720.955,-0.21454,1.7742,-1.34877,1.58698,-0.52965
722.143,0.4299,1.33317,1.80177,5.29998,1.85729
723.332,-3.4506,5.35042,-2.2597,1.06352,-6.65526
724.521,0.43371,-4.03502,-2.49942,-1.60411,6.15672
725.71,-0.87025,-1.34938,4.33123,-2.41399,-2.41699
726.899,-3.92521,-2.70504,2.74187,-1.34422,-4.30685
728.088,1.52883,0.90307,1.83073,4.30815,-7.00943
729.277,0.87921,-2.04493,-2.7637,2.16788,0.81396
730.466,-4.40884,-1.13937,-1.38587,4.34836,-5.17009
731.655,1.54638,1.82688,3.00911,4.62998,4.63572
732.844,-1.77169,2.97606,-3.48068,-3.8224,3.00704
734.034,3.34474,-0.92201,5.60736,-1.09962,-3.30296
735.223,3.35009,0.46174,-2.57415,-2.4781,-3.85961
736.413,-2.68484,0.46256,-2.81316,3.31002,0.82853
737.603,2.91768,0.92802,3.05712,-0.2767,-0.27704
738.792,-2.71046,-3.96929,1.65667,3.3416,6.41268
739.982,1.13612,3.52329,-0.95234,-3.36162,0
741.172,1.59014,4.69643,3.57029,4.76098,-1.96284
742.362,0,0.94689,-0.95979,-2.25861,0.28268
743.552,5.96528,-4.7434,-1.68279,1.41429,-2.54888
744.742,3.92048,0.47678,1.44983,-2.27453,-3.98536
745.932,-4.41002,3.11912,-1.94559,0,-2.29206
747.122,-2.32484,-1.92258,0.48719,-1.43309,0.86092
748.312,0,1.68795,-6.84374,-0.86276,-4.03123
749.503,0.70153,0,-6.61555,7.49568,0.57731
750.693,-0.23448,-1.93912,3.93105,2.60176,4.92053
751.884,-6.15576,0.73423,-0.9923,0.87567,1.46126
753.074,-0.71599,6.90789,0.75021,-5.29626,-0.88381
754.265,5.04136,0.49632,3.26999,4.43946,3.55598
755.455,5.29926,-0.74699,-1.76671,1.18786,0
756.646,-4.59579,-4.00063,0.25344,-2.68386,-0.29858
757.837,-0.97194,1.50707,0.7638,3.89435,0.59987
759.028,-5.36619,-4.03427,1.78903,-4.81143,0.30109
760.219,3.21584,2.81285,-2.33276,-4.57461,-2.44282
761.41,4.22207,-3.59423,3.64317,-2.4495,7.66419
762.601,1.4963,-1.28896,-6.79387,-4.30435,-5.54103
763.792,3.01831,3.9001,-3.95321,-0.31009,0
764.983,1.01013,-1.04419,-4.49825,5.9154,0.93517
766.174,2.54128,0.78809,3.72784,-1.87982,-2.19584
767.366,-1.26859,-1.31136,2.12675,5.00474,6.57688
768.557,-1.02042,-0.26371,1.06918,2.20154,0
769.749,5.86829,-1.58247,-4.81207,1.88732,-0.94483
770.94,-1.02095,3.42995,8.29048,-8.49606,1.89036
772.132,2.03984,1.31789,2.13733,5.9727,-4.72114
773.323,3.85938,0.53193,0.80877,3.48923,-4.44635
774.515,-1.82499,2.42553,-0.81952,-6.74982,9.01093
775.707,1.82451,6.46639,4.36963,-2.24935,0.96521
